id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1145760106825146280,"4 Deluxe 2Q City View, Revere Hotel, Pet-Friendly",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,16,8.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145761904038519806,"Deluxe King City View, Revere Hotel, Rooftop Bar",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,2,1.0,50000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145762418372500996,"Rebellious Boutique Stay Near Newbury St, Parking",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,4,2.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145763502409930730,"2 Superior 2 Queens, Revere Hotel, Pet-Friendly",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,8,4.0,50000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145765015983446489,"3 Superior 2 Queens, Revere Hotel, Downtown",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,12,6.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145766380640568578,"4 Superior 2 Queens, Revere Hotel, Bold Ambiance",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,16,8.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145767388513799958,"Superior King, Revere Hotel, Dining",Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,2,1.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145767530075501492,Chic Hotel with Skyline Views! King Bed w/ Balcony,Bay Village,42.35042,-71.06731,Room in hotel,Hotel room,2,1.0,40000.0,0.0,0.0,0,0,,,501999278,f,2.5945205479452054,24,110,Low,
1145905383131773804,Clean and cozy 5 star,Dorchester,42.29601089623029,-71.08635488254166,Private room in rental unit,Private room,2,1.0,81.0,5346.0,445.5,66,36,2.12,4.78,437760496,t,3.745205479452055,62,572,High,2.154204351048898
1145924423957284971,Clean and cozy 5 star,Dorchester,42.29619208313504,-71.0846392370577,Private room in rental unit,Private room,2,1.0,81.0,4374.0,364.5,54,36,2.13,4.67,437760496,t,3.745205479452055,52,572,High,1.1552408872182645
1146116903149678333,"Blueground | South End, gym, w/d, nr groceries",South End,42.3439382,-71.0638329,Entire rental unit,Entire home/apt,2,1.0,362.0,23168.0,1930.6666666666667,64,1,0.09,5.0,107434423,f,8.778082191780822,33,291,Medium,0.5767971712390523
1147907219486202540,Queen Bedroom A in #977: JFK/UMass,Dorchester,42.31698847451584,-71.05349589540947,Private room in rental unit,Private room,1,1.0,64.0,0.0,0.0,0,0,,,297860058,f,6.0,16,572,High,
1147908793610075028,Queen Bedroom C in #1285: Allston,Allston,42.35593,-71.13242,Private room in rental unit,Private room,1,1.0,64.0,0.0,0.0,0,0,,,297860058,f,6.0,15,178,Low,
1148632520800845526,Sunny Charming Room,Brighton,42.35491733054882,-71.16162449489862,Private room in home,Private room,2,1.0,122.0,0.0,0.0,0,4,0.25,5.0,236817626,f,6.695890410958904,26,303,Medium,0.06603515588603637
